r,g,b,h,s,v,c,m,y,k,hex,name
255,153,68,0.0758,0.7333,1.0,0.0,0.4,0.7333,0.0,FF9944,Royal Orange
255,127,80,0.0448,0.6863,1.0,0.0,0.502,0.6863,0.0,FF7F50,Coral
215,83,65,0.02,0.6977,0.8431,0.0,0.614,0.6977,0.1569,D75341,Dark Coral
230,129,47,0.0747,0.7957,0.902,0.0,0.4391,0.7957,0.098,E6812F,Cadmium Orange
250,186,95,0.0978,0.62,0.9804,0.0,0.256,0.62,0.0196,FABA5F,Rajah
251,136,66,0.0631,0.7371,0.9843,0.0,0.4582,0.7371,0.0157,FB8842,Mango Tango
255,159,0,0.1039,1.0,1.0,0.0,0.3765,1.0,0.0,FF9F00,Orange Peel
236,118,37,0.0678,0.8432,0.9255,0.0,0.5,0.8432,0.0745,EC7625,Vivid Tangelo
236,88,0,0.0621,1.0,0.9255,0.0,0.6271,1.0,0.0745,EC5800,Persimmon
255,60,0,0.0392,1.0,1.0,0.0,0.7647,1.0,0.0,FF3C00,Browns Orange
204,85,0,0.0694,1.0,0.8,0.0,0.5833,1.0,0.2,CC5500,Burnt Orange
230,219,172,0.1351,0.2522,0.902,0.0,0.0478,0.2522,0.098,E6DBAC,Tan
238,220,154,0.131,0.3529,0.9333,0.0,0.0756,0.3529,0.0667,EEDC9A,Beige
249,224,118,0.1349,0.5261,0.9765,0.0,0.1004,0.5261,0.0235,F9E076,Macaroon
201,187,142,0.1271,0.2935,0.7882,0.0,0.0697,0.2935,0.2118,C9BB8E,Hazel Wood
214,184,90,0.1263,0.5794,0.8392,0.0,0.1402,0.5794,0.1608,D6B85A,Granola
223,201,138,0.1235,0.3812,0.8745,0.0,0.0987,0.3812,0.1255,DFC98A,Oat
250,226,156,0.1241,0.376,0.9804,0.0,0.096,0.376,0.0196,FAE29C,Egg Nog
200,169,81,0.1232,0.595,0.7843,0.0,0.155,0.595,0.2157,C8A951,Fawn
